date,open,close,high,low,volume,amount
2021-03-22,6208.9317,6305.6919,6307.5479,6206.0810,14304144500,138484393048.5000
2021-03-23,6307.9803,6219.1666,6307.9803,6181.1338,15096405200,144085644479.5000
2021-03-24,6180.3124,6142.5439,6232.1309,6131.8232,14767311100,137684570621.8000
2021-03-25,6118.8697,6157.4072,6190.9381,6108.2613,12930709300,122101589124.7000
2021-03-26,6164.8237,6251.7941,6264.5552,6164.8237,12888761000,130405073059.0000
2021-03-29,6269.9988,6254.9426,6277.7649,6215.7980,13963389400,137607136706.5000
2021-03-30,6239.4695,6280.3590,6287.8738,6217.3269,13440958400,138902652260.9000
2021-03-31,6277.6960,6254.0695,6277.6960,6205.9386,12512849200,124539602404.6000
2021-04-01,6259.4135,6311.6644,6321.5796,6238.3074,13037481800,124971608809.6000
2021-04-02,6316.5561,6326.6059,6341.6545,6291.7144,12393887100,125309449743.9000
2021-04-06,6345.8913,6343.0962,6367.7849,6323.2422,11148915800,115979707861.0000
2021-04-07,6350.3783,6348.0761,6350.3783,6289.0653,15001677500,139659141224.5000
2021-04-08,6332.9263,6356.7526,6385.1951,6309.1232,17374127800,147432805257.3000
2021-04-09,6345.2896,6335.2393,6360.4497,6307.6558,14130690000,127539220387.4000
2021-04-12,6325.2643,6226.4182,6344.1623,6203.5690,15544143900,142018338674.3000
2021-04-13,6210.2229,6209.7801,6254.8970,6193.8091,13038770900,116032381971.0000
2021-04-14,6206.6373,6277.2111,6287.8377,6206.6373,11743821700,107282816415.8000
2021-04-15,6263.6281,6276.4609,6281.4258,6211.6602,11977617600,111582123998.5000
2021-04-16,6283.8616,6339.5906,6344.9465,6276.4319,12676465300,119984627677.6000
2021-04-19,6331.7097,6425.2606,6431.7772,6315.0828,14220093000,144720530841.8000
2021-04-20,6419.7312,6428.5411,6467.3806,6410.2782,13467452300,143364748864.1000
2021-04-21,6396.2721,6420.2587,6434.6303,6369.7696,12105173300,128354894323.3000
